rank,company,industry,city,state,zip,website,employees,revenue_in_millions_usd,valuation_in_millions_usd,profits_in_millions_usd,profits_percent_of_sales,symbol,ceo
1,Walmart,General Merchandisers,Bentonville,Arkansas,72716,www.walmart.com,2100000,611289,397475,11680,1.9,WMT,Douglas McMillon
2,Amazon.com,Internet Services and Retailing,Seattle,Washington,98109,www.amazon.com,1541000,513983,1058440,-2722,-0.5,AMZN,Andrew R. Jassy
3,Exxon Mobil,Petroleum Refining,Irving,Texas,75039,www.exxonmobil.com,62000,413680,446424,55740,13.5,XOM,Darren W. Woods
4,Apple,"Computers, Office Equipment",Cupertino,California,95014,www.apple.com,164000,394328,2609039,99803,25.3,AAPL,Timothy D. Cook
5,UnitedHealth Group,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,55343,www.unitedhealthgroup.com,400000,324162,440854,20120,6.2,UNH,Andrew P. Witty
6,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhose Island,2895,www.cvshealth.com,259500,322467,95422,4149,1.3,CVS,Karen S. Lynch
7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,68131,www.berkshirehathaway.com,383000,302089,675657,-22819,-7.6,BRKA,Warren E. Buffett
8,Alphabet,Internet Services and Retailing,Mountain View,California,94043,www.abc.xyz,190234,282836,1330201,59972,21.2,GOOGL,Sundar Pichai
9,McKesson,Wholesalers: Health Care,Irving,Texas,75039,www.mckesson.com,66500,263966,48757,1114,0.4,MCK,Brian S. Tyler
10,Chevron,Petroleum Refining,San Ramon,California,94583,www.chevron.com,43846,246252,311093,35465,14.4,CVX,Michael K. Wirth
11,AmerisourceBergen,Wholesalers: Health Care,Conshohocken,Pennsylvania,19428,www.amerisourcebergen.com,41500,238587,32384,1699,0.7,ABC,Steven H. Collis
12,Costco Wholesale,General Merchandisers,Issaquah,Washington,98027,www.costco.com,304000,226954,220354,5844,2.6,COST,Craig Jelinek
13,Microsoft,Computer Software,Redmond,Washington,98052,www.microsoft.com,221000,198270,2146049,72738,36.7,MSFT,Satya Nadella
14,Cardinal Health,Wholesalers: Health Care,Dublin,Ohio,43017,www.cardinalhealth.com,46035,181364,19452,-933,-0.5,CAH,Jason Hollar
15,Cigna Group,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,6002,www.thecignagroup.com,70231,180516,75901,6668,3.7,CI,David M. Cordani
16,Marathon Petroleum,Petroleum Refining,Findlay,Ohio,45840,www.marathonpetroleum.com,17800,180012,59544,14516,8.1,MPC,Michael J. Hennigan
17,Phillips 66,Petroleum Refining,Houston,Texas,77042,www.phillips66.com,13000,175702,46727,11024,6.3,PSX,Mark Lashier
